brand_name,os,price,avg_rating,processor_speed,battery_capacity,screen_size,other_feature
Apple,iOS,99900,4.5,2.5,3100,6.1,feature1
Samsung,Android,79900,4.3,2.8,4000,6.4,feature2
Google,Android,69900,4.4,2.3,3140,5.8,feature3
OnePlus,Android,59900,4.2,2.7,3700,6.3,feature4
Xiaomi,Android,49900,4.1,2.4,4500,6.5,feature5
Apple,iOS,109900,4.7,3.0,2800,5.8,feature6
Samsung,Android,89900,4.4,2.9,4100,6.7,feature7
Google,Android,74900,4.5,2.5,3080,6.0,feature8
OnePlus,Android,54900,4.3,2.6,3800,6.2,feature9
Xiaomi,Android,44900,4.0,2.2,5000,6.8,feature10
Apple,iOS,119900,4.8,3.1,2900,6.5,feature11
Samsung,Android,99900,4.5,3.0,4200,6.9,feature12
Google,Android,79900,4.6,2.7,3200,6.2,feature13
OnePlus,Android,64900,4.3,2.8,4000,6.4,feature14
Xiaomi,Android,39900,4.0,2.3,4800,6.6,feature15
Apple,iOS,129900,4.9,3.2,3000,6.7,feature16
Samsung,Android,109900,4.6,3.1,4300,7.0,feature17
